STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
ACN,H,4,TEMP,20240101 0000,20240101 0000,37, ,DEG F
ACN,H,4,TEMP,20240101 0100,20240101 0100,40, ,DEG F
ACN,H,4,TEMP,20240101 0200,20240101 0200,42, ,DEG F
ACN,H,4,TEMP,20240101 0300,20240101 0300,42, ,DEG F
ACN,H,4,TEMP,20240101 0400,20240101 0400,43, ,DEG F
ACN,H,4,TEMP,20240101 0500,20240101 0500,42, ,DEG F
ACN,H,4,TEMP,20240101 0600,20240101 0600,41, ,DEG F
ACN,H,4,TEMP,20240101 0700,20240101 0700,40, ,DEG F
ACN,H,4,TEMP,20240101 0800,20240101 0800,42, ,DEG F
ACN,H,4,TEMP,20240101 0900,20240101 0900,46, ,DEG F
ACN,H,4,TEMP,20240101 1000,20240101 1000,49, ,DEG F
ACN,H,4,TEMP,20240101 1100,20240101 1100,51, ,DEG F
ACN,H,4,TEMP,20240101 1200,20240101 1200,54, ,DEG F
ACN,H,4,TEMP,20240101 1300,20240101 1300,55, ,DEG F
ACN,H,4,TEMP,20240101 1400,20240101 1400,55, ,DEG F
ACN,H,4,TEMP,20240101 1500,20240101 1500,54, ,DEG F
ACN,H,4,TEMP,20240101 1600,20240101 1600,52, ,DEG F
ACN,H,4,TEMP,20240101 1700,20240101 1700,49, ,DEG F
ACN,H,4,TEMP,20240101 1800,20240101 1800,46, ,DEG F
ACN,H,4,TEMP,20240101 1900,20240101 1900,42, ,DEG F
ACN,H,4,TEMP,20240101 2000,20240101 2000,45, ,DEG F
ACN,H,4,TEMP,20240101 2100,20240101 2100,43, ,DEG F
ACN,H,4,TEMP,20240101 2200,20240101 2200,47, ,DEG F
ACN,H,4,TEMP,20240101 2300,20240101 2300,40, ,DEG F
ACN,H,4,TEMP,20240102 0000,20240102 0000,40, ,DEG F
ACN,H,4,TEMP,20240102 0100,20240102 0100,39, ,DEG F
ACN,H,4,TEMP,20240102 0200,20240102 0200,36, ,DEG F
ACN,H,4,TEMP,20240102 0300,20240102 0300,36, ,DEG F
ACN,H,4,TEMP,20240102 0400,20240102 0400,35, ,DEG F
ACN,H,4,TEMP,20240102 0500,20240102 0500,33, ,DEG F
ACN,H,4,TEMP,20240102 0600,20240102 0600,32, ,DEG F
ACN,H,4,TEMP,20240102 0700,20240102 0700,34, ,DEG F
ACN,H,4,TEMP,20240102 0800,20240102 0800,43, ,DEG F
ACN,H,4,TEMP,20240102 0900,20240102 0900,51, ,DEG F
ACN,H,4,TEMP,20240102 1000,20240102 1000,58, ,DEG F
ACN,H,4,TEMP,20240102 1100,20240102 1100,60, ,DEG F
ACN,H,4,TEMP,20240102 1200,20240102 1200,61, ,DEG F
ACN,H,4,TEMP,20240102 1300,20240102 1300,59, ,DEG F
ACN,H,4,TEMP,20240102 1400,20240102 1400,60, ,DEG F
ACN,H,4,TEMP,20240102 1500,20240102 1500,60, ,DEG F
ACN,H,4,TEMP,20240102 1600,20240102 1600,52, ,DEG F
ACN,H,4,TEMP,20240102 1700,20240102 1700,46, ,DEG F
ACN,H,4,TEMP,20240102 1800,20240102 1800,43, ,DEG F
ACN,H,4,TEMP,20240102 1900,20240102 1900,41, ,DEG F
ACN,H,4,TEMP,20240102 2000,20240102 2000,38, ,DEG F
ACN,H,4,TEMP,20240102 2100,20240102 2100,38, ,DEG F
ACN,H,4,TEMP,20240102 2200,20240102 2200,42, ,DEG F
ACN,H,4,TEMP,20240102 2300,20240102 2300,42, ,DEG F
ACN,H,4,TEMP,20240103 0000,20240103 0000,42, ,DEG F
ACN,H,4,TEMP,20240103 0100,20240103 0100,42, ,DEG F
ACN,H,4,TEMP,20240103 0200,20240103 0200,46, ,DEG F
ACN,H,4,TEMP,20240103 0300,20240103 0300,47, ,DEG F
ACN,H,4,TEMP,20240103 0400,20240103 0400,45, ,DEG F
ACN,H,4,TEMP,20240103 0500,20240103 0500,45, ,DEG F
ACN,H,4,TEMP,20240103 0600,20240103 0600,45, ,DEG F
ACN,H,4,TEMP,20240103 0700,20240103 0700,44, ,DEG F
ACN,H,4,TEMP,20240103 0800,20240103 0800,47, ,DEG F
ACN,H,4,TEMP,20240103 0900,20240103 0900,49, ,DEG F
ACN,H,4,TEMP,20240103 1000,20240103 1000,49, ,DEG F
ACN,H,4,TEMP,20240103 1100,20240103 1100,---, ,DEG F
ACN,H,4,TEMP,20240103 1200,20240103 1200,---, ,DEG F
ACN,H,4,TEMP,20240103 1300,20240103 1300,---, ,DEG F
ACN,H,4,TEMP,20240103 1400,20240103 1400,---, ,DEG F
ACN,H,4,TEMP,20240103 1500,20240103 1500,---, ,DEG F
ACN,H,4,TEMP,20240103 1600,20240103 1600,---, ,DEG F
ACN,H,4,TEMP,20240103 1700,20240103 1700,44, ,DEG F
ACN,H,4,TEMP,20240103 1800,20240103 1800,42, ,DEG F
ACN,H,4,TEMP,20240103 1900,20240103 1900,42, ,DEG F
ACN,H,4,TEMP,20240103 2000,20240103 2000,41, ,DEG F
ACN,H,4,TEMP,20240103 2100,20240103 2100,43, ,DEG F
ACN,H,4,TEMP,20240103 2200,20240103 2200,42, ,DEG F
ACN,H,4,TEMP,20240103 2300,20240103 2300,43, ,DEG F
ACN,H,4,TEMP,20240104 0000,20240104 0000,40, ,DEG F
ACN,H,4,TEMP,20240104 0100,20240104 0100,38, ,DEG F
ACN,H,4,TEMP,20240104 0200,20240104 0200,37, ,DEG F
ACN,H,4,TEMP,20240104 0300,20240104 0300,34, ,DEG F
ACN,H,4,TEMP,20240104 0400,20240104 0400,33, ,DEG F
ACN,H,4,TEMP,20240104 0500,20240104 0500,34, ,DEG F
ACN,H,4,TEMP,20240104 0600,20240104 0600,35, ,DEG F
ACN,H,4,TEMP,20240104 0700,20240104 0700,34, ,DEG F
ACN,H,4,TEMP,20240104 0800,20240104 0800,45, ,DEG F
ACN,H,4,TEMP,20240104 0900,20240104 0900,46, ,DEG F
ACN,H,4,TEMP,20240104 1000,20240104 1000,---, ,DEG F
ACN,H,4,TEMP,20240104 1100,20240104 1100,49, ,DEG F
ACN,H,4,TEMP,20240104 1200,20240104 1200,52, ,DEG F
ACN,H,4,TEMP,20240104 1300,20240104 1300,52, ,DEG F
ACN,H,4,TEMP,20240104 1400,20240104 1400,51, ,DEG F
ACN,H,4,TEMP,20240104 1500,20240104 1500,49, ,DEG F
ACN,H,4,TEMP,20240104 1600,20240104 1600,46, ,DEG F
ACN,H,4,TEMP,20240104 1700,20240104 1700,41, ,DEG F
ACN,H,4,TEMP,20240104 1800,20240104 1800,40, ,DEG F
ACN,H,4,TEMP,20240104 1900,20240104 1900,41, ,DEG F
ACN,H,4,TEMP,20240104 2000,20240104 2000,38, ,DEG F
ACN,H,4,TEMP,20240104 2100,20240104 2100,35, ,DEG F
ACN,H,4,TEMP,20240104 2200,20240104 2200,36, ,DEG F
ACN,H,4,TEMP,20240104 2300,20240104 2300,35, ,DEG F
ACN,H,4,TEMP,20240105 0000,20240105 0000,34, ,DEG F
ACN,H,4,TEMP,20240105 0100,20240105 0100,34, ,DEG F
ACN,H,4,TEMP,20240105 0200,20240105 0200,36, ,DEG F
ACN,H,4,TEMP,20240105 0300,20240105 0300,34, ,DEG F
ACN,H,4,TEMP,20240105 0400,20240105 0400,35, ,DEG F
ACN,H,4,TEMP,20240105 0500,20240105 0500,37, ,DEG F
ACN,H,4,TEMP,20240105 0600,20240105 0600,37, ,DEG F
ACN,H,4,TEMP,20240105 0700,20240105 0700,40, ,DEG F
ACN,H,4,TEMP,20240105 0800,20240105 0800,44, ,DEG F
ACN,H,4,TEMP,20240105 0900,20240105 0900,48, ,DEG F
ACN,H,4,TEMP,20240105 1000,20240105 1000,50, ,DEG F
ACN,H,4,TEMP,20240105 1100,20240105 1100,53, ,DEG F
ACN,H,4,TEMP,20240105 1200,20240105 1200,56, ,DEG F
ACN,H,4,TEMP,20240105 1300,20240105 1300,59, ,DEG F
ACN,H,4,TEMP,20240105 1400,20240105 1400,60, ,DEG F
ACN,H,4,TEMP,20240105 1500,20240105 1500,58, ,DEG F
ACN,H,4,TEMP,20240105 1600,20240105 1600,53, ,DEG F
ACN,H,4,TEMP,20240105 1700,20240105 1700,49, ,DEG F
ACN,H,4,TEMP,20240105 1800,20240105 1800,47, ,DEG F
ACN,H,4,TEMP,20240105 1900,20240105 1900,42, ,DEG F
ACN,H,4,TEMP,20240105 2000,20240105 2000,41, ,DEG F
ACN,H,4,TEMP,20240105 2100,20240105 2100,40, ,DEG F
ACN,H,4,TEMP,20240105 2200,20240105 2200,38, ,DEG F
ACN,H,4,TEMP,20240105 2300,20240105 2300,39, ,DEG F
ACN,H,4,TEMP,20240106 0000,20240106 0000,41, ,DEG F
ACN,H,4,TEMP,20240106 0100,20240106 0100,40, ,DEG F
ACN,H,4,TEMP,20240106 0200,20240106 0200,41, ,DEG F
ACN,H,4,TEMP,20240106 0300,20240106 0300,44, ,DEG F
ACN,H,4,TEMP,20240106 0400,20240106 0400,35, ,DEG F
ACN,H,4,TEMP,20240106 0500,20240106 0500,34, ,DEG F
ACN,H,4,TEMP,20240106 0600,20240106 0600,34, ,DEG F
ACN,H,4,TEMP,20240106 0700,20240106 0700,33, ,DEG F
ACN,H,4,TEMP,20240106 0800,20240106 0800,43, ,DEG F
ACN,H,4,TEMP,20240106 0900,20240106 0900,50, ,DEG F
ACN,H,4,TEMP,20240106 1000,20240106 1000,59, ,DEG F
ACN,H,4,TEMP,20240106 1100,20240106 1100,60, ,DEG F
ACN,H,4,TEMP,20240106 1200,20240106 1200,60, ,DEG F
ACN,H,4,TEMP,20240106 1300,20240106 1300,58, ,DEG F
ACN,H,4,TEMP,20240106 1400,20240106 1400,56, ,DEG F
ACN,H,4,TEMP,20240106 1500,20240106 1500,53, ,DEG F
ACN,H,4,TEMP,20240106 1600,20240106 1600,51, ,DEG F
ACN,H,4,TEMP,20240106 1700,20240106 1700,50, ,DEG F
ACN,H,4,TEMP,20240106 1800,20240106 1800,49, ,DEG F
ACN,H,4,TEMP,20240106 1900,20240106 1900,47, ,DEG F
