STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MRN,H,12,REL HUM,20240101 0000,20240101 0000,94, ,  %
MRN,H,12,REL HUM,20240101 0100,20240101 0100,96, ,  %
MRN,H,12,REL HUM,20240101 0200,20240101 0200,89, ,  %
MRN,H,12,REL HUM,20240101 0300,20240101 0300,92, ,  %
MRN,H,12,REL HUM,20240101 0400,20240101 0400,92, ,  %
MRN,H,12,REL HUM,20240101 0500,20240101 0500,86, ,  %
MRN,H,12,REL HUM,20240101 0600,20240101 0600,85, ,  %
MRN,H,12,REL HUM,20240101 0700,20240101 0700,85, ,  %
MRN,H,12,REL HUM,20240101 0800,20240101 0800,80, ,  %
MRN,H,12,REL HUM,20240101 0900,20240101 0900,75, ,  %
MRN,H,12,REL HUM,20240101 1000,20240101 1000,69, ,  %
MRN,H,12,REL HUM,20240101 1100,20240101 1100,63, ,  %
MRN,H,12,REL HUM,20240101 1200,20240101 1200,60, ,  %
MRN,H,12,REL HUM,20240101 1300,20240101 1300,52, ,  %
MRN,H,12,REL HUM,20240101 1400,20240101 1400,49, ,  %
MRN,H,12,REL HUM,20240101 1500,20240101 1500,50, ,  %
MRN,H,12,REL HUM,20240101 1600,20240101 1600,60, ,  %
MRN,H,12,REL HUM,20240101 1700,20240101 1700,64, ,  %
MRN,H,12,REL HUM,20240101 1800,20240101 1800,66, ,  %
MRN,H,12,REL HUM,20240101 1900,20240101 1900,55, ,  %
MRN,H,12,REL HUM,20240101 2000,20240101 2000,58, ,  %
MRN,H,12,REL HUM,20240101 2100,20240101 2100,62, ,  %
MRN,H,12,REL HUM,20240101 2200,20240101 2200,59, ,  %
MRN,H,12,REL HUM,20240101 2300,20240101 2300,57, ,  %
MRN,H,12,REL HUM,20240102 0000,20240102 0000,63, ,  %
MRN,H,12,REL HUM,20240102 0100,20240102 0100,67, ,  %
MRN,H,12,REL HUM,20240102 0200,20240102 0200,68, ,  %
MRN,H,12,REL HUM,20240102 0300,20240102 0300,68, ,  %
MRN,H,12,REL HUM,20240102 0400,20240102 0400,73, ,  %
MRN,H,12,REL HUM,20240102 0500,20240102 0500,69, ,  %
MRN,H,12,REL HUM,20240102 0600,20240102 0600,72, ,  %
MRN,H,12,REL HUM,20240102 0700,20240102 0700,72, ,  %
MRN,H,12,REL HUM,20240102 0800,20240102 0800,59, ,  %
MRN,H,12,REL HUM,20240102 0900,20240102 0900,43, ,  %
MRN,H,12,REL HUM,20240102 1000,20240102 1000,42, ,  %
MRN,H,12,REL HUM,20240102 1100,20240102 1100,46, ,  %
MRN,H,12,REL HUM,20240102 1200,20240102 1200,46, ,  %
MRN,H,12,REL HUM,20240102 1300,20240102 1300,45, ,  %
MRN,H,12,REL HUM,20240102 1400,20240102 1400,51, ,  %
MRN,H,12,REL HUM,20240102 1500,20240102 1500,53, ,  %
MRN,H,12,REL HUM,20240102 1600,20240102 1600,59, ,  %
MRN,H,12,REL HUM,20240102 1700,20240102 1700,65, ,  %
MRN,H,12,REL HUM,20240102 1800,20240102 1800,76, ,  %
MRN,H,12,REL HUM,20240102 1900,20240102 1900,83, ,  %
MRN,H,12,REL HUM,20240102 2000,20240102 2000,87, ,  %
MRN,H,12,REL HUM,20240102 2100,20240102 2100,93, ,  %
MRN,H,12,REL HUM,20240102 2200,20240102 2200,99, ,  %
MRN,H,12,REL HUM,20240102 2300,20240102 2300,90, ,  %
MRN,H,12,REL HUM,20240103 0000,20240103 0000,92, ,  %
MRN,H,12,REL HUM,20240103 0100,20240103 0100,81, ,  %
MRN,H,12,REL HUM,20240103 0200,20240103 0200,90, ,  %
MRN,H,12,REL HUM,20240103 0300,20240103 0300,86, ,  %
MRN,H,12,REL HUM,20240103 0400,20240103 0400,86, ,  %
MRN,H,12,REL HUM,20240103 0500,20240103 0500,95, ,  %
MRN,H,12,REL HUM,20240103 0600,20240103 0600,100, ,  %
MRN,H,12,REL HUM,20240103 0700,20240103 0700,100, ,  %
MRN,H,12,REL HUM,20240103 0800,20240103 0800,100, ,  %
MRN,H,12,REL HUM,20240103 0900,20240103 0900,90, ,  %
