STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
WWP,H,2,RAIN,20240101 0000,20240101 0000,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0100,20240101 0100,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0200,20240101 0200,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0300,20240101 0300,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0400,20240101 0400,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0500,20240101 0500,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0600,20240101 0600,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0700,20240101 0700,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0800,20240101 0800,2.81, ,INCHES
WWP,H,2,RAIN,20240101 0900,20240101 0900,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1000,20240101 1000,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1100,20240101 1100,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1200,20240101 1200,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1300,20240101 1300,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1400,20240101 1400,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1500,20240101 1500,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1600,20240101 1600,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1700,20240101 1700,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1800,20240101 1800,2.81, ,INCHES
WWP,H,2,RAIN,20240101 1900,20240101 1900,2.81, ,INCHES
WWP,H,2,RAIN,20240101 2000,20240101 2000,2.81, ,INCHES
WWP,H,2,RAIN,20240101 2100,20240101 2100,2.81, ,INCHES
WWP,H,2,RAIN,20240101 2200,20240101 2200,2.81, ,INCHES
WWP,H,2,RAIN,20240101 2300,20240101 2300,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0000,20240102 0000,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0100,20240102 0100,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0200,20240102 0200,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0300,20240102 0300,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0400,20240102 0400,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0500,20240102 0500,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0600,20240102 0600,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0700,20240102 0700,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0800,20240102 0800,2.81, ,INCHES
WWP,H,2,RAIN,20240102 0900,20240102 0900,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1000,20240102 1000,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1100,20240102 1100,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1200,20240102 1200,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1300,20240102 1300,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1400,20240102 1400,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1500,20240102 1500,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1600,20240102 1600,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1700,20240102 1700,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1800,20240102 1800,2.81, ,INCHES
WWP,H,2,RAIN,20240102 1900,20240102 1900,2.81, ,INCHES
WWP,H,2,RAIN,20240102 2000,20240102 2000,2.81, ,INCHES
WWP,H,2,RAIN,20240102 2100,20240102 2100,2.81, ,INCHES
WWP,H,2,RAIN,20240102 2200,20240102 2200,2.81, ,INCHES
WWP,H,2,RAIN,20240102 2300,20240102 2300,2.81, ,INCHES
WWP,H,2,RAIN,20240103 0000,20240103 0000,2.81, ,INCHES
WWP,H,2,RAIN,20240103 0100,20240103 0100,2.81, ,INCHES
WWP,H,2,RAIN,20240103 0200,20240103 0200,2.81, ,INCHES
WWP,H,2,RAIN,20240103 0300,20240103 0300,2.81, ,INCHES
WWP,H,2,RAIN,20240103 0400,20240103 0400,2.95, ,INCHES
WWP,H,2,RAIN,20240103 0500,20240103 0500,3.14, ,INCHES
WWP,H,2,RAIN,20240103 0600,20240103 0600,3.23, ,INCHES
WWP,H,2,RAIN,20240103 0700,20240103 0700,3.25, ,INCHES
WWP,H,2,RAIN,20240103 0800,20240103 0800,3.25, ,INCHES
WWP,H,2,RAIN,20240103 0900,20240103 0900,3.25, ,INCHES
WWP,H,2,RAIN,20240103 1000,20240103 1000,3.25, ,INCHES
WWP,H,2,RAIN,20240103 1100,20240103 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240103 1200,20240103 1200,---, ,INCHES
WWP,H,2,RAIN,20240103 1300,20240103 1300,---, ,INCHES
WWP,H,2,RAIN,20240103 1400,20240103 1400,---, ,INCHES
WWP,H,2,RAIN,20240103 1500,20240103 1500,---, ,INCHES
WWP,H,2,RAIN,20240103 1600,20240103 1600,---, ,INCHES
WWP,H,2,RAIN,20240103 1700,20240103 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240103 1800,20240103 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240103 1900,20240103 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240103 2000,20240103 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240103 2100,20240103 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240103 2200,20240103 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240103 2300,20240103 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0000,20240104 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0100,20240104 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0200,20240104 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0300,20240104 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0400,20240104 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0500,20240104 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0600,20240104 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0700,20240104 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0800,20240104 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240104 0900,20240104 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1000,20240104 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1100,20240104 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1200,20240104 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1300,20240104 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1400,20240104 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1500,20240104 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1600,20240104 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1700,20240104 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1800,20240104 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240104 1900,20240104 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240104 2000,20240104 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240104 2100,20240104 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240104 2200,20240104 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240104 2300,20240104 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0000,20240105 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0100,20240105 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0200,20240105 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0300,20240105 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0400,20240105 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0500,20240105 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0600,20240105 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0700,20240105 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0800,20240105 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240105 0900,20240105 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1000,20240105 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1100,20240105 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1200,20240105 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1300,20240105 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1400,20240105 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1500,20240105 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1600,20240105 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1700,20240105 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1800,20240105 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240105 1900,20240105 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240105 2000,20240105 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240105 2100,20240105 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240105 2200,20240105 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240105 2300,20240105 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0000,20240106 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0100,20240106 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0200,20240106 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0300,20240106 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0400,20240106 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0500,20240106 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0600,20240106 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0700,20240106 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0800,20240106 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240106 0900,20240106 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1000,20240106 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1100,20240106 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1200,20240106 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1300,20240106 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1400,20240106 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1500,20240106 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1600,20240106 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1700,20240106 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1800,20240106 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240106 1900,20240106 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240106 2000,20240106 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240106 2100,20240106 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240106 2200,20240106 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240106 2300,20240106 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0000,20240107 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0100,20240107 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0200,20240107 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0300,20240107 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0400,20240107 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0500,20240107 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0600,20240107 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0700,20240107 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0800,20240107 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240107 0900,20240107 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1000,20240107 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1100,20240107 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1200,20240107 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1300,20240107 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1400,20240107 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1500,20240107 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1600,20240107 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1700,20240107 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1800,20240107 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240107 1900,20240107 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240107 2000,20240107 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240107 2100,20240107 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240107 2200,20240107 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240107 2300,20240107 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0000,20240108 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0100,20240108 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0200,20240108 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0300,20240108 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0400,20240108 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0500,20240108 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0600,20240108 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0700,20240108 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0800,20240108 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240108 0900,20240108 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1000,20240108 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1100,20240108 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1200,20240108 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1300,20240108 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1400,20240108 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1500,20240108 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1600,20240108 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1700,20240108 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1800,20240108 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240108 1900,20240108 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240108 2000,20240108 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240108 2100,20240108 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240108 2200,20240108 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240108 2300,20240108 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0000,20240109 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0100,20240109 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0200,20240109 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0300,20240109 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0400,20240109 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0500,20240109 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0600,20240109 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0700,20240109 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0800,20240109 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240109 0900,20240109 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1000,20240109 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1100,20240109 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1200,20240109 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1300,20240109 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1400,20240109 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1500,20240109 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1600,20240109 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1700,20240109 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1800,20240109 1800,3.26, ,INCHES
WWP,H,2,RAIN,20240109 1900,20240109 1900,3.26, ,INCHES
WWP,H,2,RAIN,20240109 2000,20240109 2000,3.26, ,INCHES
WWP,H,2,RAIN,20240109 2100,20240109 2100,3.26, ,INCHES
WWP,H,2,RAIN,20240109 2200,20240109 2200,3.26, ,INCHES
WWP,H,2,RAIN,20240109 2300,20240109 2300,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0000,20240110 0000,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0100,20240110 0100,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0200,20240110 0200,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0300,20240110 0300,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0400,20240110 0400,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0500,20240110 0500,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0600,20240110 0600,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0700,20240110 0700,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0800,20240110 0800,3.26, ,INCHES
WWP,H,2,RAIN,20240110 0900,20240110 0900,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1000,20240110 1000,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1100,20240110 1100,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1200,20240110 1200,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1300,20240110 1300,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1400,20240110 1400,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1500,20240110 1500,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1600,20240110 1600,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1700,20240110 1700,3.26, ,INCHES
WWP,H,2,RAIN,20240110 1800,20240110 1800,3.26, ,INCHES
